Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal_Double,1,Battery_Cell,
D1,D_SOD-123_Double,1,D_Schottky,
"D10, D12, D14, D16, D18, D2, D20, D22, D24, D26, D28, D30, D32, D34, D36, D38, D4, D40, D42, D44, D46, D48, D50, D52, D54, D56, D58, D6, D60, D8",SK6812MINI-E_Double,30,SK6812MINI-E,
"D11, D13, D15, D17, D19, D21, D23, D25, D27, D29, D3, D31, D33, D35, D37, D39, D41, D43, D45, D47, D49, D5, D51, D53, D55, D57, D59, D61, D7, D9",D_SOD-123_Double,30,1N4148,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal_Double,1,AudioJack4,
J2,Pogo2-Right-Angle,1,Conn_01x02_Socket,
"JP1, JP2, JP3, JP4",Double_Sided_Jumper,4,SolderJumper_3_Open,
"Q1, Q4",SOT-23_Double,2,AO3401A,
Q3,SOT-23_Double,1,2N7002,
"R1, R3, R4",0603,3,10k,
"R2, R5",0603,2,560R,
"SW1, SW2",SW_PUSH_6mm_Double,2,SW_Push,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW4, SW5, SW6, SW7, SW8, SW9",SW_Kailh_Choc_V1_1.00u_Double,30,SW_Push,
SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_Double,1,RotaryEncoder_Switch,
U1,XIAO-nRF52840_Double,1,XIAO_nRF52840,
U2,SSOP-28_5.3x10.2mm_P0.65mm_Double,1,MCP23S17_SS,
U3,NICE_VIEW,1,NICE_VIEW,
