Designator,Mid X,Mid Y,Rotation,Layer
BT1,108.419319,-108.42277,280.0,top
D1,199.984693,-57.508897,90.0,top
D10,143.6,-45.73,180.0,top
D11,148.436695,-34.336553,0.0,bottom
D12,162.2,-50.13,180.0,top
D13,167.036695,-38.736553,0.0,bottom
D14,69.2,-66.93,180.0,top
D15,74.036695,-55.536553,0.0,bottom
D16,87.8,-66.93,180.0,top
D17,92.636695,-55.536553,0.0,bottom
D18,106.4,-59.53,180.0,top
D19,111.236695,-48.136553,0.0,bottom
D2,69.2,-49.33,180.0,top
D20,125.0,-59.53,180.0,top
D21,129.836695,-48.136553,0.0,bottom
D22,143.6,-63.33,180.0,top
D23,148.436695,-51.936553,0.0,bottom
D24,162.2,-67.73,180.0,top
D25,167.036695,-56.336553,0.0,bottom
D26,69.2,-84.53,180.0,top
D27,74.036695,-73.136553,0.0,bottom
D28,87.8,-84.53,180.0,top
D29,92.636695,-73.136553,0.0,bottom
D3,74.036695,-37.936553,0.0,bottom
D30,106.4,-77.13,180.0,top
D31,111.236695,-65.736553,0.0,bottom
D32,125.0,-77.13,180.0,top
D33,129.836695,-65.736553,0.0,bottom
D34,143.6,-80.93,180.0,top
D35,148.436695,-69.536553,0.0,bottom
D36,162.2,-85.33,180.0,top
D37,167.036695,-73.936553,0.0,bottom
D38,69.2,-102.13,180.0,top
D39,74.036695,-90.736553,0.0,bottom
D4,87.8,-49.33,180.0,top
D40,87.8,-102.13,180.0,top
D41,92.636695,-90.736553,0.0,bottom
D42,106.4,-94.73,180.0,top
D43,111.236695,-83.336553,0.0,bottom
D44,125.635,-94.73,180.0,top
D45,130.471695,-83.336553,0.0,bottom
D46,143.6,-98.53,180.0,top
D47,148.436695,-87.136553,0.0,bottom
D48,162.2,-102.93,180.0,top
D49,167.036695,-91.536553,0.0,bottom
D5,92.636695,-37.936553,0.0,bottom
D50,109.059902,-125.706424,190.0,top
D51,111.844665,-113.646187,10.0,bottom
D52,128.100252,-124.10728,180.0,top
D53,132.936947,-112.713833,0.0,bottom
D54,147.166742,-125.782106,170.0,top
D55,153.908407,-115.401635,350.0,bottom
D56,165.500912,-130.723914,160.0,top
D57,173.942706,-121.671824,340.0,bottom
D58,182.669737,-138.873484,150.0,top
D59,192.55516,-131.424818,330.0,bottom
D6,106.4,-41.93,180.0,top
D60,179.348425,-116.221212,160.0,top
D61,187.790219,-107.169122,340.0,bottom
D7,111.236695,-30.536553,0.0,bottom
D8,125.0,-41.93,180.0,top
D9,129.836695,-30.536553,0.0,bottom
J1,200.204,-44.6536,270.0,top
J2,207.569624,-57.205813,17.0,top
JP1,178.481995,-65.407277,0.0,top
JP2,178.481995,-67.947277,0.0,top
JP3,178.481995,-73.027277,0.0,top
JP4,178.481995,-75.567277,0.0,top
Q1,196.965527,-57.68727,90.0,top
Q3,132.896056,-107.86398,0.0,top
Q4,132.896056,-104.311935,0.0,top
R1,202.546657,-57.648154,90.0,top
R2,137.16,-108.83398,180.0,top
R3,137.16,-106.087957,0.0,top
R4,137.16,-103.341935,180.0,top
R5,167.3625,-34.29,180.0,top
SW1,177.8,-87.63,0.0,top
SW10,69.2,-62.0,0.0,top
SW11,87.8,-62.0,0.0,top
SW12,106.4,-54.6,0.0,top
SW13,125.0,-54.6,0.0,top
SW14,143.6,-58.4,0.0,top
SW15,162.2,-62.8,0.0,top
SW16,69.2,-79.6,0.0,top
SW17,87.8,-79.6,0.0,top
SW18,106.4,-72.2,0.0,top
SW19,125.0,-72.2,0.0,top
SW2,193.819391,-115.322782,330.0,top
SW20,143.6,-76.0,0.0,top
SW21,162.2,-80.4,0.0,top
SW22,69.2,-97.2,0.0,top
SW23,87.8,-97.2,0.0,top
SW24,106.4,-89.8,0.0,top
SW25,125.635,-89.8,0.0,top
SW26,143.6,-93.6,0.0,top
SW27,162.2,-98.0,0.0,top
SW28,108.203817,-120.851322,10.0,top
SW29,128.100252,-119.17728,0.0,top
SW3,192.454046,-90.729421,330.0,top
SW30,148.022827,-120.927004,350.0,top
SW31,167.187071,-126.09123,340.0,top
SW32,185.134736,-134.603979,330.0,top
SW33,181.034584,-111.588528,340.0,top
SW4,69.2,-44.4,0.0,top
SW5,87.8,-44.4,0.0,top
SW6,106.4,-37.0,0.0,top
SW7,125.0,-37.0,0.0,top
SW8,143.6,-40.8,0.0,top
SW9,162.2,-45.2,0.0,top
U1,183.905,-46.03128,0.0,top
U2,211.299197,-86.079931,0.0,top
U3,192.181995,-70.487277,0.0,top
